epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,20668.6,1.1987,1.05967,1.44682,0.89242,0.83924,0.89168,0.61479,1.13653,0.87458,1.42058,0.000715214,0.000715214,0.000715214
152,20805.3,1.1511,1.03273,1.4309,0.87378,0.84746,0.89209,0.6143,1.13243,0.88124,1.39785,0.000710456,0.000710456,0.000710456
153,20941.9,1.17244,1.05942,1.45109,0.90703,0.83621,0.89485,0.61443,1.14801,0.88417,1.41073,0.000705697,0.000705697,0.000705697
154,21078.5,1.20747,1.06694,1.45277,0.8973,0.84609,0.90193,0.61972,1.12722,0.87038,1.40039,0.000700939,0.000700939,0.000700939
155,21215.1,1.17924,1.03914,1.45,0.87355,0.85321,0.89992,0.61724,1.13408,0.89199,1.40347,0.00069618,0.00069618,0.00069618
156,21351.9,1.17621,1.03299,1.42801,0.88189,0.8544,0.90039,0.61528,1.15437,0.89357,1.41841,0.000691422,0.000691422,0.000691422
157,21488.6,1.19525,1.06475,1.44467,0.88721,0.83293,0.88917,0.61293,1.13492,0.89099,1.40671,0.000686663,0.000686663,0.000686663
158,21625.4,1.14267,1.02065,1.4281,0.87426,0.85546,0.89396,0.62359,1.11988,0.86713,1.38228,0.000681905,0.000681905,0.000681905
159,21762.1,1.15457,1.03546,1.43655,0.89002,0.8432,0.89497,0.6138,1.10973,0.85653,1.38681,0.000677146,0.000677146,0.000677146
160,21898.8,1.14575,1.00586,1.41812,0.8894,0.85574,0.90016,0.62723,1.10259,0.85435,1.37812,0.000672387,0.000672387,0.000672387
161,22035.5,1.14538,1.01745,1.40946,0.89052,0.84745,0.90396,0.62747,1.11089,0.84048,1.39533,0.000667629,0.000667629,0.000667629
162,22172.3,1.15408,1.02318,1.42306,0.86489,0.85827,0.89455,0.6225,1.12,0.85241,1.39714,0.00066287,0.00066287,0.00066287
163,22308.8,1.10595,0.99459,1.41443,0.88027,0.84823,0.90162,0.62217,1.13209,0.86665,1.40312,0.000658112,0.000658112,0.000658112
164,22445.5,1.12628,0.99904,1.40497,0.87303,0.84786,0.89808,0.62706,1.10358,0.84144,1.3775,0.000653353,0.000653353,0.000653353
165,22582.1,1.1495,1.01166,1.41414,0.88567,0.85106,0.89844,0.62402,1.10283,0.86417,1.36997,0.000648595,0.000648595,0.000648595
166,22718.9,1.14353,1.00161,1.40321,0.89983,0.85204,0.89909,0.62222,1.08917,0.84629,1.37029,0.000643836,0.000643836,0.000643836
167,22855.7,1.15026,1.00735,1.41436,0.87634,0.84566,0.8917,0.62228,1.09737,0.84273,1.37744,0.000639077,0.000639077,0.000639077
168,22992.5,1.15264,1.02183,1.41602,0.90877,0.83328,0.89903,0.62562,1.12334,0.83977,1.39027,0.000634319,0.000634319,0.000634319
169,23129.3,1.11741,0.99784,1.39768,0.9023,0.84158,0.89891,0.6248,1.11331,0.83966,1.38732,0.00062956,0.00062956,0.00062956
170,23266.1,1.13691,1.00101,1.39308,0.88827,0.85267,0.89751,0.62172,1.11216,0.84599,1.38037,0.000624802,0.000624802,0.000624802
171,23402.7,1.14839,1.0108,1.41005,0.89083,0.86094,0.90291,0.63078,1.09982,0.83734,1.37179,0.000620043,0.000620043,0.000620043
172,23539.3,1.09716,0.96877,1.37566,0.90059,0.84091,0.89911,0.62877,1.10558,0.81419,1.37371,0.000615285,0.000615285,0.000615285
173,23675.9,1.13125,0.99332,1.4089,0.88858,0.85301,0.9061,0.63302,1.09787,0.83564,1.3861,0.000610526,0.000610526,0.000610526
174,23812.8,1.11448,0.99579,1.38441,0.88268,0.84731,0.9036,0.63545,1.08797,0.8203,1.37693,0.000605767,0.000605767,0.000605767
175,23949.5,1.13597,1.00804,1.40583,0.89484,0.84896,0.90502,0.63675,1.09938,0.82215,1.37832,0.000601009,0.000601009,0.000601009
176,24086.3,1.11767,0.99167,1.39041,0.87455,0.8637,0.904,0.6335,1.11042,0.82816,1.38389,0.00059625,0.00059625,0.00059625
177,24223,1.13752,0.99927,1.39742,0.89399,0.83716,0.90826,0.6352,1.11441,0.82994,1.38956,0.000591492,0.000591492,0.000591492
178,24359.7,1.12097,0.99227,1.40168,0.89209,0.85991,0.90701,0.6339,1.10526,0.81477,1.38061,0.000586733,0.000586733,0.000586733
179,24496.5,1.1073,0.96673,1.3878,0.88242,0.86577,0.90164,0.63822,1.08443,0.80633,1.35461,0.000581975,0.000581975,0.000581975
